FID,OBJECTID,SHAPE,STATION,LINIE,BEMERKUNG,ANLAGEN_ID,GRUPPEN_ID,SE_ANNO_CAD_DATA
AUFZUGOGD.184,184,POINT (16.286494382469005 48.19096131377255),Unter St.Veit,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 1 an die Oberfläche.,UV A01, ,
AUFZUGOGD.185,185,POINT (16.357536007719705 48.19659342061164),Kettenbrückengasse,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 2 Richtung Hütteldorf an die Oberfläche.,KG A02, ,
AUFZUGOGD.186,186,POINT (16.35759052923731 48.19647285212914),Kettenbrückengasse,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 1 Richtung Heiligenstadt an die Oberfläche.,KG A01, ,
AUFZUGOGD.187,187,POINT (16.295083493906827 48.18960682222277),Braunschweiggasse,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 2 an die Oberfläche Steg/Rampe.,BR A02, ,
AUFZUGOGD.188,188,POINT (16.295038562682603 48.189516387601934),Braunschweiggasse,U4,Aufzug fährt vom Bahnsteig der Linie U4 Gleis 1 an die Oberfläche Steg/Rampe.,BR A01, ,
AUFZUGOGD.189,189,POINT (16.379214798412143 48.236822886055556),Dresdner Straße,U6,Aufzug fährt vom Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Dresdner Straße,DS A02, ,
AUFZUGOGD.190,190,POINT (16.381011859971608 48.2376613429042),Dresdner Straße,U6,Aufzug fährt vom Mittelbahnsteig in das stadtauswärtige Aufnahmegebäude Ausgang Pasettistraße,DS A01, ,
AUFZUGOGD.191,191,POINT (16.3847498270374 48.24184127324),Handelskai,U6,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Engerthstraße auf den ÖBB-Bahnsteig (Richtung Wien Floridsdorf),HK A05, ,
AUFZUGOGD.192,192,POINT (16.385162695704356 48.241486562578785),Handelskai,U6,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Engerthstraße auf den U6-Bahnsteig (Fahrtrichtung 1 nach Floridsdorf),HK A08, ,
AUFZUGOGD.193,193,POINT (16.384915901041374 48.24167464292078),Handelskai,U6,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Engerthstraße auf den ÖBB-Bahnsteig (Richtung Wien Meidling und Flughafen),HK A06, ,
AUFZUGOGD.194,194,POINT (16.386012247200572 48.242084226766565),Handelskai,U6,Aufzug fährt vom ÖBB-Mittelbahnsteig (S45) auf den U6-Bahnsteig (Fahrtrichtung 2 nach Siebenhirten),HK A03, ,
AUFZUGOGD.195,195,POINT (16.384994246699954 48.24165160788379),Handelskai,U6,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Engerthstraße auf den U6-Bahnsteig (Fahrtrichtung 2 nach Siebenhirten),HK A07, ,
AUFZUGOGD.196,196,POINT (16.386153435356366 48.24197153904224),Handelskai,U6,Aufzug fährt vom ÖBB-Mittelbahnsteig (S45) auf den U6-Bahnsteig (Fahrtrichtung 1 nach Floridsdorf),HK A04, ,
AUFZUGOGD.197,197,POINT (16.385920890748274 48.242158822121674),Handelskai,U6,Aufzug fährt vom ÖBB-Mittelbahnsteig (S45) auf den ÖBB-Seitenbahnsteig (Richtung Wien Meidling und Flughafen),HK A02, ,
AUFZUGOGD.198,198,POINT (16.385767886888537 48.2423333792636),Handelskai,U6,Aufzug fährt vom ÖBB-Mittelbahnsteig (S45) auf den ÖBB-Seitenbahnsteig (Richtung Wien Floridsdorf),HK A01, ,
AUFZUGOGD.199,199,POINT (16.36975127652548 48.235231036090866),Jägerstraße,U6,Aufzug fährt vom Mittelbahnsteig in das stadtauswärtige Aufnahmegebäude Ausgang Jägerstraße,JG A01, ,
AUFZUGOGD.200,200,POINT (16.367673606627378 48.235188796479456),Jägerstraße,U6,Aufzug fährt vom Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Leipziger Platz,JG A02, ,
AUFZUGOGD.201,201,POINT (16.33134132474351 48.17325479452556),Philadelphiabrücke,U6,Aufzug fährt vom Bahnsteig der Linie U6 ins Zwischengeschoß (Zugang zur ÖBB) und an die Oberfläche Ausgang Schedifkaplatz.,PH A02, ,
AUFZUGOGD.202,202,POINT (16.331507199568133 48.17479431550653),Philadelphiabrücke,U6,Aufzug fährt vom Zwischengeschoß auf die Oberfläche Ausgang Wilhelmstraße.,PH A01, ,
AUFZUGOGD.203,203,POINT (16.394487773845363 48.24623867956615),neue Donau,U6,Aufzug fährt vom Aufnahmegebäude Ausgang Neue Donau auf den Bahnsteig (Fahrtrichtung 2 nach Siebenhirten),ND A02, ,
AUFZUGOGD.204,204,POINT (16.39470375382671 48.24611483149317),neue Donau,U6,Aufzug fährt vom Aufnahmegebäude Ausgang Neue Donau auf den Bahnsteig (Fahrtrichtung 1 nach Floridsdorf),ND A01, ,
AUFZUGOGD.205,205,POINT (16.40045319062906 48.25625842737792),Floridsdorf,U6,Aufzug fährt vom U6-Mittelbahnsteig in die Passage und auf den ÖBB-Bahnsteig (Richtung Flughafen),FL A01, ,
AUFZUGOGD.206,206,POINT (16.400485250547185 48.256251271592404),Floridsdorf,U6,Aufzug fährt vom U6-Mittelbahnsteig in die Passage und auf den ÖBB-Bahnsteig (Richtung Flughafen),FL A02, ,
AUFZUGOGD.207,207,POINT (16.334369951193338 48.18441691035869),Längenfeldgasse,U6,Aufzug fährt vom Bahnsteig der Linie U6 Gleis 1 Richtung Floridsdorf / der Linie U4 Gleis 2 Heiligenstadt an die Oberfläche.,LE A01, ,
AUFZUGOGD.208,208,POINT (16.33428811156272 48.18448353446112),Längenfeldgasse,U6,Aufzug fährt vom Bahnsteig der Linie U6 Gleis 2 Richtung Siebenhirten / der Linie U4 Gleis 2 Hütteldorf an die Oberfläche,LE A02, ,
AUFZUGOGD.209,209,POINT (16.33106671177519 48.180420125240616),Niederhofstraße,U6,Aufzug fährt vom U6 Bahnsteig ins Zwischengeschoß (Telefon) und an die Oberfläche Ausgang Vivenotgasse.,NH A02,NH A01,
AUFZUGOGD.210,210,POINT (16.33106671177519 48.180420125240616),Niederhofstraße,U6,Aufzug fährt vom U6 Bahnsteig ins Zwischengeschoß (Telefon) und an die Oberfläche Ausgang Vivenotgasse.,NH A01,NH A01,
AUFZUGOGD.211,211,POINT (16.337698214795296 48.190788290391225),Gumpendorferstraße,U6,Aufzug fährt von Ausgang auf Bahnsteig der Linie U6 Gleis 1 Richtung Floridsdorf.,GU A01, ,
AUFZUGOGD.212,212,POINT (16.337368450686725 48.190777983931),Gumpendorferstraße,U6,Aufzug fährt von Ausgang auf Bahnsteig der Linie U6 Gleis 2 Richtung Siebenhirten.,GU A02, ,
AUFZUGOGD.213,213,POINT (16.316693233936423 48.151154403530136),Alt-Erlaa,U6,Aufzug fährt von Ausgang Anton Baumgartner Straße zu Zwischengeschoß Passage und auf Bahnsteig der Linie U6 Gleis 2 Richtung Siebenhirten.,AE A02, ,
AUFZUGOGD.214,214,POINT (16.317063017312694 48.15121395208298),Alt-Erlaa,U6,Aufzug fährt von Ausgang Anton Baumgartner Straße zu Bahnsteig der Linie U6 Gleis 1 Richtung Floridsdorf.,AE A01, ,
AUFZUGOGD.215,215,POINT (16.316421820659368 48.14178718077317),Erlaaer Straße,U6,Aufzug fährt von Ausgang auf Bahnsteig der Linie U6 Gleis 2 Richtung Siebenhirten.,ES A02, ,
AUFZUGOGD.216,216,POINT (16.31662446924953 48.141780825482165),Erlaaer Straße,U6,Aufzug fährt von Ausgang auf Bahnsteig der Linie U6 Gleis 1 Richtung Floridsdorf.,ES A01, ,
AUFZUGOGD.217,217,POINT (16.309590048286868 48.12996775875971),Siebenhirten,U6,Aufzug fährt von Ausgang auf Bahnsteig der Linie U6 Gleis 2 Endstation.,HT A02, ,
AUFZUGOGD.218,218,POINT (16.309795031039535 48.12994163167597),Siebenhirten,U6,Aufzug fährt von Ausgang auf Bahnsteig der Linie U6 Gleis 1 Richtung Floridsdorf.,HT A01, ,
AUFZUGOGD.219,219,POINT (16.3132460417518 48.13650622812418),Perfektastraße,U6,Aufzug fährt von Ausgang auf Bahnsteig der Linie U6 Gleis 1 Richtung Floridsdorf.,PF A01, ,
AUFZUGOGD.220,220,POINT (16.313066861618903 48.13654211162658),Perfektastraße,U6,Aufzug fährt von Ausgang auf Bahnsteig der Linie U6 Gleis 2 Richtung Siebenhirten.,PF A02, ,
AUFZUGOGD.221,221,POINT (16.341654641626157 48.21673363735749),Alser Straße,U6,Aufzug fährt vom Ausgang zu Bahnsteig der Linie U6 Gleis 2 Fahrtrichtung Siebenhirten.,AS A02, ,
AUFZUGOGD.222,222,POINT (16.34200357292806 48.21685100578695),Alser Straße,U6,Aufzug fährt vom Ausgang zu Bahnsteig der Linie U6 Gleis 1 Fahrtrichtung Floridsdorf.,AS A01, ,
AUFZUGOGD.223,223,POINT (16.352288225142225 48.23136537173972),Nußdorfer Straße,U6,Aufzug fährt vom Ausgang zu Bahnsteig der Linie U6 Gleis 1 Richtung Floridsdorf.,NS A01, ,
AUFZUGOGD.224,224,POINT (16.352605163415866 48.23128204556419),Nußdorfer Straße,U6,Aufzug fährt vom Ausgang zu Bahnsteig der Linie U6 Gleis 2 Richtung Siebenhirten.,NS A02, ,
AUFZUGOGD.225,225,POINT (16.327859935540634 48.165181097468164),Tscherttegasse,U6,Aufzug fährt vom Bahnsteig der Linie U6 Gleis 2 Richtung Siebenhirten zum Ausgang Tschertegasse.,TE A01, ,
AUFZUGOGD.226,226,POINT (16.337342653370403 48.202697433657505),Burggasse,U6,Aufzug fährt vom Bahnsteig der Linie U6 Gleis 1 Richtung Floridsdorf an die Oberfläche.,BU A01, ,
AUFZUGOGD.227,227,POINT (16.33716705612467 48.20268871120575),Burggasse,U6,Aufzug fährt vom Bahnsteig der Linie U6 Gleis 2 Richtung Siebenhirten an die Oberfläche.,BU A02, ,
